FileName	Slide	Batch	Cy3	Cy5
US84700254_252800520900_S01_GE2_1100_Jul11_1_2.txt	4	4	ppifPOAFAEE	ppifTLCS
US84700254_252800520900_S01_GE2_1100_Jul11_1_3.txt	4	4	ppifSalineTLCS	ppifTLCS
US84700254_252800520900_S01_GE2_1100_Jul11_1_4.txt	4	4	ppifControl	Control
US84700254_252800520900_S01_GE2_1100_Jul11_2_1.txt	4	4	SalineTLCS	TLCS
US84700254_252800520900_S01_GE2_1100_Jul11_2_2.txt	4	4	SalineFAEE	POAFAEE
US84700254_252800520877_S01_GE2_1200_Jun14_1_1.txt	1	5	TLCS5	FAEE50
US84700254_252800520877_S01_GE2_1200_Jun14_1_2.txt	1	5	TLCS3	SalineInj
US84700254_252800520877_S01_GE2_1200_Jun14_1_3.txt	1	5	SalinePerf	TLCS3
US84700254_252800520877_S01_GE2_1200_Jun14_1_4.txt	1	5	FAEE150	SalinePerf
US84700254_252800520877_S01_GE2_1200_Jun14_2_1.txt	1	5	FAEE50	Control
US84700254_252800520877_S01_GE2_1200_Jun14_2_2.txt	1	5	SalineInj	EtOH
US84700254_252800520877_S01_GE2_1200_Jun14_2_3.txt	1	5	Control	FAEE150
US84700254_252800520877_S01_GE2_1200_Jun14_2_4.txt	1	5	EtOH	TLCS5
US84700254_252800520878_S01_GE2_1200_Jun14_1_1.txt	2	5	TLCS5	TLCS3
US84700254_252800520878_S01_GE2_1200_Jun14_1_2.txt	2	5	EtOH	Control
US84700254_252800520878_S01_GE2_1200_Jun14_1_3.txt	2	5	Control	FAEE50
US84700254_252800520878_S01_GE2_1200_Jun14_1_4.txt	2	5	FAEE50	SalinePerf
US84700254_252800520878_S01_GE2_1200_Jun14_2_1.txt	2	5	SalinePerf	FAEE150
US84700254_252800520878_S01_GE2_1200_Jun14_2_2.txt	2	5	FAEE150	SalineInj
US84700254_252800520878_S01_GE2_1200_Jun14_2_3.txt	2	5	SalineInj	EtOH
US84700254_252800520878_S01_GE2_1200_Jun14_2_4.txt	2	5	TLCS3	TLCS5
US84700254_252800520879_S01_GE2_1200_Jun14_1_1.txt	3	5	EtOH	TLCS5
US84700254_252800520879_S01_GE2_1200_Jun14_1_2.txt	3	5	TLCS3	FAEE50
US84700254_252800520879_S01_GE2_1200_Jun14_1_3.txt	3	5	Control	SalinePerf
US84700254_252800520879_S01_GE2_1200_Jun14_1_4.txt	3	5	TLCS5	Control
US84700254_252800520879_S01_GE2_1200_Jun14_2_1.txt	3	5	FAEE50	FAEE150
US84700254_252800520879_S01_GE2_1200_Jun14_2_2.txt	3	5	SalinePerf	EtOH
US84700254_252800520879_S01_GE2_1200_Jun14_2_3.txt	3	5	FAEE150	TLCS3
US84700254_252800520879_S01_GE2_1200_Jun14_2_4.txt	3	5	SalineInj	SalineInj
US84700254_252800520883_S01_GE2_1100_Jul11_1_1.txt	1	3	SC7plus6	C7plus6
US84700254_252800520883_S01_GE2_1100_Jul11_1_2.txt	1	3	C7plus6	Control
US84700254_252800520883_S01_GE2_1100_Jul11_1_3.txt	1	3	SC7plus6	Control
US84700254_252800520883_S01_GE2_1100_Jul11_1_4.txt	1	3	C7plus6	SC7plus6
US84700254_252800520883_S01_GE2_1100_Jul11_2_1.txt	1	3	Control	C7plus6
US84700254_252800520883_S01_GE2_1100_Jul11_2_2.txt	1	3	Control	SC7plus6
US84700254_252800520884_S01_GE2_1100_Jul11_1_1.txt	1	3	SC7plus6	C7plus6
US84700254_252800520884_S01_GE2_1100_Jul11_1_2.txt	1	3	C7plus6	Control
US84700254_252800520884_S01_GE2_1100_Jul11_1_3.txt	1	3	Control	SC7plus6
US84700254_252800517779_S01_GE2_1100_Jul11_1_1.txt	1	2	Control	C12
US84700254_252800517779_S01_GE2_1100_Jul11_1_2.txt	1	2	C12	C4
US84700254_252800517779_S01_GE2_1100_Jul11_1_3.txt	1	2	C4	SC4
US84700254_252800517779_S01_GE2_1100_Jul11_1_4.txt	1	2	SC4	Control
US84700254_252800517779_S01_GE2_1100_Jul11_2_1.txt	1	2	Control	C4
US84700254_252800517779_S01_GE2_1100_Jul11_2_2.txt	1	2	SC4	Control
US84700254_252800517779_S01_GE2_1100_Jul11_2_3.txt	1	2	C4	SC12
US84700254_252800517779_S01_GE2_1100_Jul11_2_4.txt	1	2	Control	C12
US84700254_252800517780_S01_GE2_1100_Jul11_1_1.txt	2	2	SC12	C4
US84700254_252800517780_S01_GE2_1100_Jul11_1_2.txt	2	2	C12	SC12
US84700254_252800517780_S01_GE2_1100_Jul11_1_3.txt	2	2	SC12	C12
US84700254_252800517780_S01_GE2_1100_Jul11_1_4.txt	2	2	C4	SC4
US84700254_252800517780_S01_GE2_1100_Jul11_2_1.txt	2	2	C12	SC4
US84700254_252800517780_S01_GE2_1100_Jul11_2_2.txt	2	2	SC4	SC12
US84700254_252800517780_S01_GE2_1100_Jul11_2_3.txt	2	2	SC12	Control
